taxamount,yearbuilt,fips,taxvaluedollarcnt,calculatedfinishedsquarefeet,bathroomcnt,bedroomcnt,propertylandusetypeid,transactiondate
4464.42,1978.0,6111.0,418763.0,1772.0,2.0,3.0,261.0,2017-08-04
5515.94,1981.0,6111.0,478430.0,1819.0,2.0,3.0,261.0,2017-07-21
212.46,2002.0,6111.0,27400.0,1000.0,0.0,0.0,263.0,2017-06-23
2287.55,1933.0,6037.0,171687.0,1503.0,2.0,2.0,261.0,2017-07-28
6089.82,1950.0,6037.0,498347.0,1604.0,2.0,4.0,261.0,2017-06-30
6679.55,1937.0,6037.0,549917.0,2384.0,3.0,3.0,261.0,2017-06-01
9425.82,1964.0,6037.0,760000.0,2821.0,3.0,6.0,261.0,2017-08-23
3876.31,1990.0,6037.0,235272.0,1574.0,2.0,3.0,261.0,2017-06-01
4206.15,1983.0,6037.0,340000.0,1619.0,2.0,2.0,261.0,2017-06-29
3421.08,1951.0,6037.0,249830.0,756.0,1.0,2.0,261.0,2017-08-23
24353.42,1952.0,6037.0,2017254.0,2408.0,3.0,2.0,261.0,2017-06-27
43801.77,1940.0,6037.0,3634725.0,4399.0,5.0,5.0,261.0,2017-07-14
75862.41,,6037.0,5240710.0,,0.0,0.0,261.0,2017-05-16
6861.51,1952.0,6037.0,629951.0,1721.0,2.0,4.0,261.0,2017-05-19
1341.73,1925.0,6037.0,85087.0,1800.0,1.0,3.0,261.0,2017-08-18
5488.23,1942.0,6037.0,305481.0,1136.0,1.0,3.0,261.0,2017-05-01
1498.86,1923.0,6037.0,79930.0,1088.0,1.0,2.0,261.0,2017-05-18
3473.87,1928.0,6037.0,260000.0,914.0,1.0,2.0,261.0,2017-05-17
4592.94,1948.0,6037.0,380730.0,1268.0,1.0,2.0,261.0,2017-08-21
1048.54,1958.0,6037.0,66220.0,1263.0,2.0,3.0,261.0,2017-06-02
6674.59,1954.0,6037.0,331065.0,2292.0,3.0,4.0,261.0,2017-07-13
7072.55,1953.0,6037.0,595000.0,1330.0,1.0,3.0,261.0,2017-06-29
3839.92,1955.0,6037.0,275061.0,1017.0,1.0,3.0,261.0,2017-05-31
3433.84,1952.0,6037.0,285180.0,850.0,1.0,2.0,261.0,2017-06-19
4253.29,1950.0,6037.0,310760.0,1078.0,1.0,3.0,261.0,2017-08-11
916.49,1954.0,6037.0,49719.0,920.0,1.0,2.0,261.0,2017-06-30
597.84,1955.0,6037.0,33196.0,1202.0,2.0,4.0,261.0,2017-05-31
641.42,1947.0,6037.0,25210.0,754.0,1.0,1.0,261.0,2017-07-31
745.6,1955.0,6037.0,35319.0,1032.0,2.0,3.0,261.0,2017-08-01
5822.9,1962.0,6059.0,479778.0,1444.0,2.0,4.0,261.0,2017-05-22
872.48,1973.0,6059.0,50102.0,949.0,2.0,2.0,261.0,2017-06-01
1767.64,1967.0,6059.0,136438.0,1865.0,2.0,3.0,261.0,2017-08-25
2953.1,1986.0,6059.0,290614.0,1090.0,2.0,2.0,261.0,2017-06-16
6358.84,1999.0,6059.0,626388.0,2591.0,4.0,3.0,261.0,2017-08-22
9740.22,2006.0,6059.0,829744.0,2505.0,3.0,4.0,261.0,2017-06-16
14064.68,1983.0,6111.0,1222271.0,3715.0,3.0,3.0,261.0,2017-07-13
1489.06,1985.0,6111.0,126974.0,912.0,1.0,2.0,261.0,2017-06-30
3479.18,1984.0,6111.0,315148.0,1595.0,2.0,3.0,261.0,2017-08-22
9597.7,1993.0,6111.0,859354.0,3404.0,4.0,5.0,261.0,2017-07-25
